timestamp_s,rov_x,rov_y,rov_z,obstacle_count,max_obstacle_risk,most_dangerous_center_x,most_dangerous_bearing_rad,nominal_surge,nominal_sway,nominal_yaw_rate,safe_surge,safe_sway,safe_yaw_rate,planner_state,selected_side,debug_risk
0.105607,0.07151164000000002,0.0,0.0,3,0.6975225806236267,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
0.208869,0.09201320000000002,0.0,0.0,3,0.6985014081001282,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
0.30522,0.11127314000000002,0.0,0.0,3,0.6995717287063599,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
0.40133,0.13053894000000002,0.0,0.0,3,0.7005714774131775,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
0.513631,0.15294670000000002,0.0,0.0,3,0.7015743851661682,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
0.609577,0.17221234000000002,0.0,0.0,3,0.7027499079704285,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
0.705866,0.19143846000000003,0.0,0.0,3,0.7037631869316101,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
0.801516,0.21068624000000002,0.0,0.0,3,0.7047821879386902,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
0.90624,0.23267614000000003,0.0,0.0,3,0.7057951092720032,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
1.015065,0.25026472000000005,0.0,0.0,3,0.7069036364555359,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
1.110034,0.2723629,0.0,0.0,3,0.7080861926078796,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
1.204142,0.29115578000000003,0.0,0.0,3,0.7091109752655029,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
1.308873,0.3101337,0.0,0.0,3,0.7101360559463501,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
1.402805,0.33092810000000006,0.0,0.0,3,0.7112781405448914,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
1.515012,0.35213238,0.0,0.0,3,0.7123105525970459,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
1.610762,0.37250534,0.0,0.0,3,0.7135535478591919,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
1.706924,0.39162788000000004,0.0,0.0,3,0.7146195769309998,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
1.803138,0.4108718600000001,0.0,0.0,3,0.7156921625137329,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
1.912056,0.43305564,0.0,0.0,3,0.7167766690254211,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
2.006682,0.45161416000000004,0.0,0.0,3,0.7180116176605225,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
2.10209,0.47088652000000003,0.0,0.0,3,0.719084620475769,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
2.206048,0.49149884000000005,0.0,0.0,3,0.7201835513114929,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
2.302097,0.5107160000000001,0.0,0.0,3,0.7213744521141052,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
2.414487,0.53313714,0.0,0.0,3,0.7224888205528259,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
2.51064,0.5524000200000001,0.0,0.0,3,0.7238034605979919,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
2.606896,0.57165564,0.0,0.0,3,0.7249322533607483,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
2.70307,0.5909135400000001,0.0,0.0,3,0.7260743379592896,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
2.814652,0.6101970400000001,0.0,0.0,3,0.7272195219993591,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
2.901107,0.6322474800000001,0.0,0.0,3,0.7285525798797607,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
3.013456,0.6529528800000001,0.0,0.0,3,0.7296038866043091,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
