[INFO] [1783442905.164244400] [holoocean_bridge]: HoloOcean bridge: will connect to sim server 127.0.0.1:47654. /perception/obstacles_oracle is SIMULATION-ONLY ground truth.
[INFO] [1783442905.186930200] [holoocean_bridge]: connected to sim server
[INFO] [1783442905.195638500] [holoocean_bridge]: oracle projected 1 obstacle(s); first class=anchor risk=0.842
[WARN] [1783442919.752793700] [holoocean_bridge]: server sent obstacle metadata but oracle projection is empty; seq=368 pose={'x': -101.77574483998997, 'y': 38.760814569799926, 'z': -68.93999481201172, 'yaw': 0.8002560830116278} first_obstacle={'name': 'anchor_real', 'class_name': 'anchor', 'position': [-89.64700317382812, 38.310001373291016, -69.53999481201171], 'radius_m': 1.8, 'bounds': {'min': [-91.14700317382812, 37.710001373291014, -71.33999481201171], 'max': [-88.14700317382812, 38.91000137329102, -67.73999481201172]}}
[WARN] [1783442924.796313800] [holoocean_bridge]: server sent obstacle metadata but oracle projection is empty; seq=485 pose={'x': -101.02252907725507, 'y': 39.968602843256186, 'z': -68.93999481201172, 'yaw': 0.9589027561744061} first_obstacle={'name': 'anchor_real', 'class_name': 'anchor', 'position': [-89.64700317382812, 38.310001373291016, -69.53999481201171], 'radius_m': 1.8, 'bounds': {'min': [-91.14700317382812, 37.710001373291014, -71.33999481201171], 'max': [-88.14700317382812, 38.91000137329102, -67.73999481201172]}}
[WARN] [1783442929.840904900] [holoocean_bridge]: server sent obstacle metadata but oracle projection is empty; seq=604 pose={'x': -100.1111184008385, 'y': 41.26738754058927, 'z': -68.93999481201172, 'yaw': 0.9589027561744061} first_obstacle={'name': 'anchor_real', 'class_name': 'anchor', 'position': [-89.64700317382812, 38.310001373291016, -69.53999481201171], 'radius_m': 1.8, 'bounds': {'min': [-91.14700317382812, 37.710001373291014, -71.33999481201171], 'max': [-88.14700317382812, 38.91000137329102, -67.73999481201172]}}
[WARN] [1783442934.861354700] [holoocean_bridge]: server sent obstacle metadata but oracle projection is empty; seq=720 pose={'x': -99.22268446416354, 'y': 42.533429766561014, 'z': -68.93999481201172, 'yaw': 0.9589027561744061} first_obstacle={'name': 'anchor_real', 'class_name': 'anchor', 'position': [-89.64700317382812, 38.310001373291016, -69.53999481201171], 'radius_m': 1.8, 'bounds': {'min': [-91.14700317382812, 37.710001373291014, -71.33999481201171], 'max': [-88.14700317382812, 38.91000137329102, -67.73999481201172]}}
[WARN] [1783442939.876001400] [holoocean_bridge]: server sent obstacle metadata but oracle projection is empty; seq=837 pose={'x': -98.32659161424137, 'y': 43.810386149653205, 'z': -68.93999481201172, 'yaw': 0.9589027561744061} first_obstacle={'name': 'anchor_real', 'class_name': 'anchor', 'position': [-89.64700317382812, 38.310001373291016, -69.53999481201171], 'radius_m': 1.8, 'bounds': {'min': [-91.14700317382812, 37.710001373291014, -71.33999481201171], 'max': [-88.14700317382812, 38.91000137329102, -67.73999481201172]}}
[WARN] [1783442944.921041100] [holoocean_bridge]: server sent obstacle metadata but oracle projection is empty; seq=954 pose={'x': -97.4304987643192, 'y': 45.087342532745396, 'z': -68.93999481201172, 'yaw': 0.9589027561744061} first_obstacle={'name': 'anchor_real', 'class_name': 'anchor', 'position': [-89.64700317382812, 38.310001373291016, -69.53999481201171], 'radius_m': 1.8, 'bounds': {'min': [-91.14700317382812, 37.710001373291014, -71.33999481201171], 'max': [-88.14700317382812, 38.91000137329102, -67.73999481201172]}}
[WARN] [1783442949.934017500] [holoocean_bridge]: server sent obstacle metadata but oracle projection is empty; seq=1072 pose={'x': -96.52674700114983, 'y': 46.37521307295803, 'z': -68.93999481201172, 'yaw': 0.9589027561744061} first_obstacle={'name': 'anchor_real', 'class_name': 'anchor', 'position': [-89.64700317382812, 38.310001373291016, -69.53999481201171], 'radius_m': 1.8, 'bounds': {'min': [-91.14700317382812, 37.710001373291014, -71.33999481201171], 'max': [-88.14700317382812, 38.91000137329102, -67.73999481201172]}}
[WARN] [1783442954.947319700] [holoocean_bridge]: server sent obstacle metadata but oracle projection is empty; seq=1188 pose={'x': -95.63831306447486, 'y': 47.64125529892978, 'z': -68.93999481201172, 'yaw': 0.9589027561744061} first_obstacle={'name': 'anchor_real', 'class_name': 'anchor', 'position': [-89.64700317382812, 38.310001373291016, -69.53999481201171], 'radius_m': 1.8, 'bounds': {'min': [-91.14700317382812, 37.710001373291014, -71.33999481201171], 'max': [-88.14700317382812, 38.91000137329102, -67.73999481201172]}}
[WARN] [1783442960.004326100] [holoocean_bridge]: server sent obstacle metadata but oracle projection is empty; seq=1304 pose={'x': -94.74987912779989, 'y': 48.90729752490152, 'z': -68.93999481201172, 'yaw': 0.9589027561744061} first_obstacle={'name': 'anchor_real', 'class_name': 'anchor', 'position': [-89.64700317382812, 38.310001373291016, -69.53999481201171], 'radius_m': 1.8, 'bounds': {'min': [-91.14700317382812, 37.710001373291014, -71.33999481201171], 'max': [-88.14700317382812, 38.91000137329102, -67.73999481201172]}}
